restaurant_class,restaurant_name,restaurant_url,restaurant_reviews
40,Les Encavés,/Restaurant_Review-g187265-d24048789-Reviews-Les_Encaves-Lyon_Rhone_Auvergne_Rhone_Alpes.html,5.0 of 5 bubbles. 212 reviews
41,Chez Micheline,/Restaurant_Review-g187265-d19658212-Reviews-Chez_Micheline-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 129 reviews
42,L'Auberge Des Canuts,/Restaurant_Review-g187265-d12419021-Reviews-L_Auberge_Des_Canuts-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.0 of 5 bubbles. 681 reviews
43,Le Petit Carron,/Restaurant_Review-g187265-d1085863-Reviews-Le_Petit_Carron-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 589 reviews
44,L'Argot,/Restaurant_Review-g187265-d7612326-Reviews-L_Argot-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 787 reviews
45,Les Bons Vivants,/Restaurant_Review-g187265-d23396881-Reviews-Les_Bons_Vivants-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 296 reviews
46,Saku Restaurant,/Restaurant_Review-g187265-d12398846-Reviews-Saku_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 183 reviews
47,La Bouteillerie,/Restaurant_Review-g187265-d2027277-Reviews-La_Bouteillerie-Lyon_Rhone_Auvergne_Rhone_Alpes.html,5.0 of 5 bubbles. 401 reviews
48,Aromatic Restaurant,/Restaurant_Review-g187265-d12337867-Reviews-Aromatic_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"5.0 of 5 bubbles. 1,117 reviews"
49,Les Fines Gueules,/Restaurant_Review-g187265-d2065540-Reviews-Les_Fines_Gueules-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 881 reviews
50,Notre Maison,/Restaurant_Review-g187265-d800321-Reviews-Notre_Maison-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 842 reviews
51,Cafe Anne,/Restaurant_Review-g187265-d14133756-Reviews-Cafe_Anne-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 57 reviews
52,Culina Hortus,/Restaurant_Review-g187265-d15210556-Reviews-Culina_Hortus-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 393 reviews
53,Cafe Comptoir Abel,/Restaurant_Review-g187265-d966700-Reviews-Cafe_Comptoir_Abel-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4.0 of 5 bubbles. 2,350 reviews"
